filename,set_name,card_number,variant,full_name,filepath,class_from_folder,set_encoded,card_encoded,variant_encoded,card_id,card_id_encoded
s1_123.webp,s1,123,normal,s1_123,s1\s1_123.webp,s1,1,27,1,s1_123_normal,47
s1_123_pf.webp,s1,123,pf,s1_123_pf,s1\s1_123_pf.webp,s1,1,27,2,s1_123_pf,48
s1_124.webp,s1,124,normal,s1_124,s1\s1_124.webp,s1,1,28,1,s1_124_normal,49
s1_124_pf.webp,s1,124,pf,s1_124_pf,s1\s1_124_pf.webp,s1,1,28,2,s1_124_pf,50
s1_125.webp,s1,125,normal,s1_125,s1\s1_125.webp,s1,1,29,1,s1_125_normal,51
s1_126.webp,s1,126,normal,s1_126,s1\s1_126.webp,s1,1,30,1,s1_126_normal,52
s1_127.webp,s1,127,normal,s1_127,s1\s1_127.webp,s1,1,31,1,s1_127_normal,53
s1_128.webp,s1,128,normal,s1_128,s1\s1_128.webp,s1,1,32,1,s1_128_normal,54
s1_129.webp,s1,129,normal,s1_129,s1\s1_129.webp,s1,1,33,1,s1_129_normal,55
s1_13.webp,s1,13,normal,s1_13,s1\s1_13.webp,s1,1,34,1,s1_13_normal,67
s1_130.webp,s1,130,normal,s1_130,s1\s1_130.webp,s1,1,35,1,s1_130_normal,57
s1_131.webp,s1,131,normal,s1_131,s1\s1_131.webp,s1,1,36,1,s1_131_normal,58
s1_132.webp,s1,132,normal,s1_132,s1\s1_132.webp,s1,1,37,1,s1_132_normal,59
s1_133.webp,s1,133,normal,s1_133,s1\s1_133.webp,s1,1,38,1,s1_133_normal,60
s1_134.webp,s1,134,normal,s1_134,s1\s1_134.webp,s1,1,39,1,s1_134_normal,61
s1_135.webp,s1,135,normal,s1_135,s1\s1_135.webp,s1,1,40,1,s1_135_normal,62
s1_136.webp,s1,136,normal,s1_136,s1\s1_136.webp,s1,1,41,1,s1_136_normal,63
s1_137.webp,s1,137,normal,s1_137,s1\s1_137.webp,s1,1,42,1,s1_137_normal,64
s1_138.webp,s1,138,normal,s1_138,s1\s1_138.webp,s1,1,43,1,s1_138_normal,65
s1_139.webp,s1,139,normal,s1_139,s1\s1_139.webp,s1,1,44,1,s1_139_normal,66
s1_14.webp,s1,14,normal,s1_14,s1\s1_14.webp,s1,1,45,1,s1_14_normal,79
s1_140.webp,s1,140,normal,s1_140,s1\s1_140.webp,s1,1,46,1,s1_140_normal,68
s1_141.webp,s1,141,normal,s1_141,s1\s1_141.webp,s1,1,47,1,s1_141_normal,69
s1_142.webp,s1,142,normal,s1_142,s1\s1_142.webp,s1,1,48,1,s1_142_normal,70
s1_143.webp,s1,143,normal,s1_143,s1\s1_143.webp,s1,1,49,1,s1_143_normal,71
s1_144.webp,s1,144,normal,s1_144,s1\s1_144.webp,s1,1,50,1,s1_144_normal,72
s1_145.webp,s1,145,normal,s1_145,s1\s1_145.webp,s1,1,51,1,s1_145_normal,73
s1_146.webp,s1,146,normal,s1_146,s1\s1_146.webp,s1,1,52,1,s1_146_normal,74
s1_147.webp,s1,147,normal,s1_147,s1\s1_147.webp,s1,1,53,1,s1_147_normal,75
s1_147_pf.webp,s1,147,pf,s1_147_pf,s1\s1_147_pf.webp,s1,1,53,2,s1_147_pf,76
s1_148.webp,s1,148,normal,s1_148,s1\s1_148.webp,s1,1,54,1,s1_148_normal,77
s1_149.webp,s1,149,normal,s1_149,s1\s1_149.webp,s1,1,55,1,s1_149_normal,78
s1_15.webp,s1,15,normal,s1_15,s1\s1_15.webp,s1,1,56,1,s1_15_normal,91
s1_150.webp,s1,150,normal,s1_150,s1\s1_150.webp,s1,1,57,1,s1_150_normal,80
s1_151.webp,s1,151,normal,s1_151,s1\s1_151.webp,s1,1,58,1,s1_151_normal,81
s1_152.webp,s1,152,normal,s1_152,s1\s1_152.webp,s1,1,59,1,s1_152_normal,82
s1_153.webp,s1,153,normal,s1_153,s1\s1_153.webp,s1,1,60,1,s1_153_normal,83
s1_154.webp,s1,154,normal,s1_154,s1\s1_154.webp,s1,1,61,1,s1_154_normal,84
s1_155.webp,s1,155,normal,s1_155,s1\s1_155.webp,s1,1,62,1,s1_155_normal,85
s1_155_pf.webp,s1,155,pf,s1_155_pf,s1\s1_155_pf.webp,s1,1,62,2,s1_155_pf,86
s1_156.webp,s1,156,normal,s1_156,s1\s1_156.webp,s1,1,63,1,s1_156_normal,87
s1_157.webp,s1,157,normal,s1_157,s1\s1_157.webp,s1,1,64,1,s1_157_normal,88
s1_158.webp,s1,158,normal,s1_158,s1\s1_158.webp,s1,1,65,1,s1_158_normal,89
s1_159.webp,s1,159,normal,s1_159,s1\s1_159.webp,s1,1,66,1,s1_159_normal,90
s1_16.webp,s1,16,normal,s1_16,s1\s1_16.webp,s1,1,67,1,s1_16_normal,105
s1_160.webp,s1,160,normal,s1_160,s1\s1_160.webp,s1,1,68,1,s1_160_normal,92
s1_161.webp,s1,161,normal,s1_161,s1\s1_161.webp,s1,1,69,1,s1_161_normal,93
s1_161_pf.webp,s1,161,pf,s1_161_pf,s1\s1_161_pf.webp,s1,1,69,2,s1_161_pf,94
s1_162.webp,s1,162,normal,s1_162,s1\s1_162.webp,s1,1,70,1,s1_162_normal,95
s1_163.webp,s1,163,normal,s1_163,s1\s1_163.webp,s1,1,71,1,s1_163_normal,96
s1_163_pf.webp,s1,163,pf,s1_163_pf,s1\s1_163_pf.webp,s1,1,71,2,s1_163_pf,97
s1_164.webp,s1,164,normal,s1_164,s1\s1_164.webp,s1,1,72,1,s1_164_normal,98
s1_165.webp,s1,165,normal,s1_165,s1\s1_165.webp,s1,1,73,1,s1_165_normal,99
s1_166.webp,s1,166,normal,s1_166,s1\s1_166.webp,s1,1,74,1,s1_166_normal,100
s1_167.webp,s1,167,normal,s1_167,s1\s1_167.webp,s1,1,75,1,s1_167_normal,101
s1_168.webp,s1,168,normal,s1_168,s1\s1_168.webp,s1,1,76,1,s1_168_normal,102
s1_169.webp,s1,169,normal,s1_169,s1\s1_169.webp,s1,1,77,1,s1_169_normal,104
s1_169_alt.webp,s1,169,alt,s1_169_alt,s1\s1_169_alt.webp,s1,1,77,0,s1_169_alt,103
s1_17.webp,s1,17,normal,s1_17,s1\s1_17.webp,s1,1,78,1,s1_17_normal,116
s1_170.webp,s1,170,normal,s1_170,s1\s1_170.webp,s1,1,79,1,s1_170_normal,106
s1_171.webp,s1,171,normal,s1_171,s1\s1_171.webp,s1,1,80,1,s1_171_normal,107
s1_172.webp,s1,172,normal,s1_172,s1\s1_172.webp,s1,1,81,1,s1_172_normal,108
s1_173.webp,s1,173,normal,s1_173,s1\s1_173.webp,s1,1,82,1,s1_173_normal,109
s1_174.webp,s1,174,normal,s1_174,s1\s1_174.webp,s1,1,83,1,s1_174_normal,110
s1_175.webp,s1,175,normal,s1_175,s1\s1_175.webp,s1,1,84,1,s1_175_normal,111
s1_176.webp,s1,176,normal,s1_176,s1\s1_176.webp,s1,1,85,1,s1_176_normal,112
s1_177.webp,s1,177,normal,s1_177,s1\s1_177.webp,s1,1,86,1,s1_177_normal,113
s1_178.webp,s1,178,normal,s1_178,s1\s1_178.webp,s1,1,87,1,s1_178_normal,114
s1_179.webp,s1,179,normal,s1_179,s1\s1_179.webp,s1,1,88,1,s1_179_normal,115
s1_18.webp,s1,18,normal,s1_18,s1\s1_18.webp,s1,1,89,1,s1_18_normal,127
s1_180.webp,s1,180,normal,s1_180,s1\s1_180.webp,s1,1,90,1,s1_180_normal,117
s1_181.webp,s1,181,normal,s1_181,s1\s1_181.webp,s1,1,91,1,s1_181_normal,118
s1_182.webp,s1,182,normal,s1_182,s1\s1_182.webp,s1,1,92,1,s1_182_normal,119
s1_183.webp,s1,183,normal,s1_183,s1\s1_183.webp,s1,1,93,1,s1_183_normal,120
s1_184.webp,s1,184,normal,s1_184,s1\s1_184.webp,s1,1,94,1,s1_184_normal,121
s1_185.webp,s1,185,normal,s1_185,s1\s1_185.webp,s1,1,95,1,s1_185_normal,122
s1_186.webp,s1,186,normal,s1_186,s1\s1_186.webp,s1,1,96,1,s1_186_normal,123
s1_187.webp,s1,187,normal,s1_187,s1\s1_187.webp,s1,1,97,1,s1_187_normal,124
s1_188.webp,s1,188,normal,s1_188,s1\s1_188.webp,s1,1,98,1,s1_188_normal,125
s1_189.webp,s1,189,normal,s1_189,s1\s1_189.webp,s1,1,99,1,s1_189_normal,126
s1_18_pf.webp,s1,18,pf,s1_18_pf,s1\s1_18_pf.webp,s1,1,89,2,s1_18_pf,128
s1_19.webp,s1,19,normal,s1_19,s1\s1_19.webp,s1,1,100,1,s1_19_normal,142
s1_190.webp,s1,190,normal,s1_190,s1\s1_190.webp,s1,1,101,1,s1_190_normal,129
s1_191.webp,s1,191,normal,s1_191,s1\s1_191.webp,s1,1,102,1,s1_191_normal,130
s1_191_pf.webp,s1,191,pf,s1_191_pf,s1\s1_191_pf.webp,s1,1,102,2,s1_191_pf,131
s1_192.webp,s1,192,normal,s1_192,s1\s1_192.webp,s1,1,103,1,s1_192_normal,132
s1_193.webp,s1,193,normal,s1_193,s1\s1_193.webp,s1,1,104,1,s1_193_normal,133
s1_193_pf.webp,s1,193,pf,s1_193_pf,s1\s1_193_pf.webp,s1,1,104,2,s1_193_pf,134
s1_194.webp,s1,194,normal,s1_194,s1\s1_194.webp,s1,1,105,1,s1_194_normal,135
s1_195.webp,s1,195,normal,s1_195,s1\s1_195.webp,s1,1,106,1,s1_195_normal,137
s1_195_alt.webp,s1,195,alt,s1_195_alt,s1\s1_195_alt.webp,s1,1,106,0,s1_195_alt,136
s1_196.webp,s1,196,normal,s1_196,s1\s1_196.webp,s1,1,107,1,s1_196_normal,138
s1_197.webp,s1,197,normal,s1_197,s1\s1_197.webp,s1,1,108,1,s1_197_normal,139
s1_198.webp,s1,198,normal,s1_198,s1\s1_198.webp,s1,1,109,1,s1_198_normal,140
s1_199.webp,s1,199,normal,s1_199,s1\s1_199.webp,s1,1,110,1,s1_199_normal,141
s1_2.webp,s1,2,normal,s1_2,s1\s1_2.webp,s1,1,111,1,s1_2_normal,157
s1_20.webp,s1,20,normal,s1_20,s1\s1_20.webp,s1,1,112,1,s1_20_normal,145
s1_200.webp,s1,200,normal,s1_200,s1\s1_200.webp,s1,1,113,1,s1_200_normal,144
s1_21.webp,s1,21,normal,s1_21,s1\s1_21.webp,s1,1,123,1,s1_21_normal,146
s1_22.webp,s1,22,normal,s1_22,s1\s1_22.webp,s1,1,134,1,s1_22_normal,147
s1_23.webp,s1,23,normal,s1_23,s1\s1_23.webp,s1,1,136,1,s1_23_normal,148
s1_24.webp,s1,24,normal,s1_24,s1\s1_24.webp,s1,1,137,1,s1_24_normal,149
s1_25.webp,s1,25,normal,s1_25,s1\s1_25.webp,s1,1,138,1,s1_25_normal,150
s1_26.webp,s1,26,normal,s1_26,s1\s1_26.webp,s1,1,139,1,s1_26_normal,151
s1_26_pf.webp,s1,26,pf,s1_26_pf,s1\s1_26_pf.webp,s1,1,139,2,s1_26_pf,152
s1_27.webp,s1,27,normal,s1_27,s1\s1_27.webp,s1,1,140,1,s1_27_normal,153
s1_27_pf.webp,s1,27,pf,s1_27_pf,s1\s1_27_pf.webp,s1,1,140,2,s1_27_pf,154
s1_28.webp,s1,28,normal,s1_28,s1\s1_28.webp,s1,1,141,1,s1_28_normal,155
s1_29.webp,s1,29,normal,s1_29,s1\s1_29.webp,s1,1,142,1,s1_29_normal,156
s1_3.webp,s1,3,normal,s1_3,s1\s1_3.webp,s1,1,143,1,s1_3_normal,169
s1_30.webp,s1,30,normal,s1_30,s1\s1_30.webp,s1,1,144,1,s1_30_normal,158
s1_31.webp,s1,31,normal,s1_31,s1\s1_31.webp,s1,1,145,1,s1_31_normal,159
s1_32.webp,s1,32,normal,s1_32,s1\s1_32.webp,s1,1,146,1,s1_32_normal,160
s1_33.webp,s1,33,normal,s1_33,s1\s1_33.webp,s1,1,147,1,s1_33_normal,161
s1_34.webp,s1,34,normal,s1_34,s1\s1_34.webp,s1,1,148,1,s1_34_normal,163
s1_34_alt.webp,s1,34,alt,s1_34_alt,s1\s1_34_alt.webp,s1,1,148,0,s1_34_alt,162
s1_35.webp,s1,35,normal,s1_35,s1\s1_35.webp,s1,1,149,1,s1_35_normal,164
s1_36.webp,s1,36,normal,s1_36,s1\s1_36.webp,s1,1,150,1,s1_36_normal,165
s1_37.webp,s1,37,normal,s1_37,s1\s1_37.webp,s1,1,151,1,s1_37_normal,166
s1_38.webp,s1,38,normal,s1_38,s1\s1_38.webp,s1,1,152,1,s1_38_normal,167
s1_39.webp,s1,39,normal,s1_39,s1\s1_39.webp,s1,1,153,1,s1_39_normal,168
s1_4.webp,s1,4,normal,s1_4,s1\s1_4.webp,s1,1,154,1,s1_4_normal,180
s1_40.webp,s1,40,normal,s1_40,s1\s1_40.webp,s1,1,155,1,s1_40_normal,170
s1_41.webp,s1,41,normal,s1_41,s1\s1_41.webp,s1,1,156,1,s1_41_normal,171
s1_42.webp,s1,42,normal,s1_42,s1\s1_42.webp,s1,1,157,1,s1_42_normal,172
s1_43.webp,s1,43,normal,s1_43,s1\s1_43.webp,s1,1,158,1,s1_43_normal,173
s1_44.webp,s1,44,normal,s1_44,s1\s1_44.webp,s1,1,159,1,s1_44_normal,174
s1_45.webp,s1,45,normal,s1_45,s1\s1_45.webp,s1,1,160,1,s1_45_normal,175
s1_46.webp,s1,46,normal,s1_46,s1\s1_46.webp,s1,1,161,1,s1_46_normal,176
s1_47.webp,s1,47,normal,s1_47,s1\s1_47.webp,s1,1,162,1,s1_47_normal,177
s1_48.webp,s1,48,normal,s1_48,s1\s1_48.webp,s1,1,163,1,s1_48_normal,178
s1_49.webp,s1,49,normal,s1_49,s1\s1_49.webp,s1,1,164,1,s1_49_normal,179
s1_5.webp,s1,5,normal,s1_5,s1\s1_5.webp,s1,1,165,1,s1_5_normal,195
s1_50.webp,s1,50,normal,s1_50,s1\s1_50.webp,s1,1,166,1,s1_50_normal,181
s1_51.webp,s1,51,normal,s1_51,s1\s1_51.webp,s1,1,167,1,s1_51_normal,182
s1_51_pf.webp,s1,51,pf,s1_51_pf,s1\s1_51_pf.webp,s1,1,167,2,s1_51_pf,183
s1_52.webp,s1,52,normal,s1_52,s1\s1_52.webp,s1,1,168,1,s1_52_normal,184
s1_52_pf.webp,s1,52,pf,s1_52_pf,s1\s1_52_pf.webp,s1,1,168,2,s1_52_pf,185
s1_53.webp,s1,53,normal,s1_53,s1\s1_53.webp,s1,1,169,1,s1_53_normal,186
s1_54.webp,s1,54,normal,s1_54,s1\s1_54.webp,s1,1,170,1,s1_54_normal,187
s1_55.webp,s1,55,normal,s1_55,s1\s1_55.webp,s1,1,171,1,s1_55_normal,188
s1_56.webp,s1,56,normal,s1_56,s1\s1_56.webp,s1,1,172,1,s1_56_normal,189
s1_57.webp,s1,57,normal,s1_57,s1\s1_57.webp,s1,1,173,1,s1_57_normal,190
s1_57_pf.webp,s1,57,pf,s1_57_pf,s1\s1_57_pf.webp,s1,1,173,2,s1_57_pf,191
s1_58.webp,s1,58,normal,s1_58,s1\s1_58.webp,s1,1,174,1,s1_58_normal,192
s1_59.webp,s1,59,normal,s1_59,s1\s1_59.webp,s1,1,175,1,s1_59_normal,194
s1_59_alt.webp,s1,59,alt,s1_59_alt,s1\s1_59_alt.webp,s1,1,175,0,s1_59_alt,193
s1_6.webp,s1,6,normal,s1_6,s1\s1_6.webp,s1,1,176,1,s1_6_normal,207
s1_60.webp,s1,60,normal,s1_60,s1\s1_60.webp,s1,1,177,1,s1_60_normal,196
s1_60_pf.webp,s1,60,pf,s1_60_pf,s1\s1_60_pf.webp,s1,1,177,2,s1_60_pf,197
s1_61.webp,s1,61,normal,s1_61,s1\s1_61.webp,s1,1,178,1,s1_61_normal,198
s1_62.webp,s1,62,normal,s1_62,s1\s1_62.webp,s1,1,179,1,s1_62_normal,199
s1_63.webp,s1,63,normal,s1_63,s1\s1_63.webp,s1,1,180,1,s1_63_normal,200
s1_64.webp,s1,64,normal,s1_64,s1\s1_64.webp,s1,1,181,1,s1_64_normal,201
s1_65.webp,s1,65,normal,s1_65,s1\s1_65.webp,s1,1,182,1,s1_65_normal,202
s1_66.webp,s1,66,normal,s1_66,s1\s1_66.webp,s1,1,183,1,s1_66_normal,203
s1_67.webp,s1,67,normal,s1_67,s1\s1_67.webp,s1,1,184,1,s1_67_normal,204
s1_68.webp,s1,68,normal,s1_68,s1\s1_68.webp,s1,1,185,1,s1_68_normal,205
s1_69.webp,s1,69,normal,s1_69,s1\s1_69.webp,s1,1,186,1,s1_69_normal,206
s1_7.webp,s1,7,normal,s1_7,s1\s1_7.webp,s1,1,187,1,s1_7_normal,218
s1_70.webp,s1,70,normal,s1_70,s1\s1_70.webp,s1,1,188,1,s1_70_normal,208
s1_71.webp,s1,71,normal,s1_71,s1\s1_71.webp,s1,1,189,1,s1_71_normal,209
s1_72.webp,s1,72,normal,s1_72,s1\s1_72.webp,s1,1,190,1,s1_72_normal,210
s1_73.webp,s1,73,normal,s1_73,s1\s1_73.webp,s1,1,191,1,s1_73_normal,211
s1_74.webp,s1,74,normal,s1_74,s1\s1_74.webp,s1,1,192,1,s1_74_normal,212
s1_75.webp,s1,75,normal,s1_75,s1\s1_75.webp,s1,1,193,1,s1_75_normal,213
s1_76.webp,s1,76,normal,s1_76,s1\s1_76.webp,s1,1,194,1,s1_76_normal,214
s1_77.webp,s1,77,normal,s1_77,s1\s1_77.webp,s1,1,195,1,s1_77_normal,215
s1_78.webp,s1,78,normal,s1_78,s1\s1_78.webp,s1,1,196,1,s1_78_normal,216
s1_79.webp,s1,79,normal,s1_79,s1\s1_79.webp,s1,1,197,1,s1_79_normal,217
s1_7_pf.webp,s1,7,pf,s1_7_pf,s1\s1_7_pf.webp,s1,1,187,2,s1_7_pf,219
s1_8.webp,s1,8,normal,s1_8,s1\s1_8.webp,s1,1,198,1,s1_8_normal,232
s1_80.webp,s1,80,normal,s1_80,s1\s1_80.webp,s1,1,199,1,s1_80_normal,220
s1_81.webp,s1,81,normal,s1_81,s1\s1_81.webp,s1,1,200,1,s1_81_normal,221
s1_81_pf.webp,s1,81,pf,s1_81_pf,s1\s1_81_pf.webp,s1,1,200,2,s1_81_pf,222
s1_82.webp,s1,82,normal,s1_82,s1\s1_82.webp,s1,1,201,1,s1_82_normal,223
s1_83.webp,s1,83,normal,s1_83,s1\s1_83.webp,s1,1,202,1,s1_83_normal,224
s1_84.webp,s1,84,normal,s1_84,s1\s1_84.webp,s1,1,203,1,s1_84_normal,225
s1_85.webp,s1,85,normal,s1_85,s1\s1_85.webp,s1,1,204,1,s1_85_normal,226
s1_86.webp,s1,86,normal,s1_86,s1\s1_86.webp,s1,1,205,1,s1_86_normal,227
s1_86_pf.webp,s1,86,pf,s1_86_pf,s1\s1_86_pf.webp,s1,1,205,2,s1_86_pf,228
s1_87.webp,s1,87,normal,s1_87,s1\s1_87.webp,s1,1,206,1,s1_87_normal,229
s1_88.webp,s1,88,normal,s1_88,s1\s1_88.webp,s1,1,207,1,s1_88_normal,230
s1_89.webp,s1,89,normal,s1_89,s1\s1_89.webp,s1,1,208,1,s1_89_normal,231
s1_9.webp,s1,9,normal,s1_9,s1\s1_9.webp,s1,1,209,1,s1_9_normal,246
s1_90.webp,s1,90,normal,s1_90,s1\s1_90.webp,s1,1,210,1,s1_90_normal,233
s1_91.webp,s1,91,normal,s1_91,s1\s1_91.webp,s1,1,211,1,s1_91_normal,234
s1_91_pf.webp,s1,91,pf,s1_91_pf,s1\s1_91_pf.webp,s1,1,211,2,s1_91_pf,235
s1_92.webp,s1,92,normal,s1_92,s1\s1_92.webp,s1,1,212,1,s1_92_normal,236
s1_93.webp,s1,93,normal,s1_93,s1\s1_93.webp,s1,1,213,1,s1_93_normal,237
s1_93_pf.webp,s1,93,pf,s1_93_pf,s1\s1_93_pf.webp,s1,1,213,2,s1_93_pf,238
s1_94.webp,s1,94,normal,s1_94,s1\s1_94.webp,s1,1,214,1,s1_94_normal,239
s1_94_pf.webp,s1,94,pf,s1_94_pf,s1\s1_94_pf.webp,s1,1,214,2,s1_94_pf,240
s1_95.webp,s1,95,normal,s1_95,s1\s1_95.webp,s1,1,215,1,s1_95_normal,241
s1_96.webp,s1,96,normal,s1_96,s1\s1_96.webp,s1,1,216,1,s1_96_normal,242
s1_97.webp,s1,97,normal,s1_97,s1\s1_97.webp,s1,1,217,1,s1_97_normal,243
s1_98.webp,s1,98,normal,s1_98,s1\s1_98.webp,s1,1,218,1,s1_98_normal,244
s1_99.webp,s1,99,normal,s1_99,s1\s1_99.webp,s1,1,219,1,s1_99_normal,245
s2_1.webp,s2,1,normal,s2_1,s2\s2_1.webp,s2,2,0,1,s2_1_normal,377
s2_10.webp,s2,10,normal,s2_10,s2\s2_10.webp,s2,2,1,1,s2_10_normal,259
s2_100.webp,s2,100,normal,s2_100,s2\s2_100.webp,s2,2,2,1,s2_100_normal,247
s2_101.webp,s2,101,normal,s2_101,s2\s2_101.webp,s2,2,3,1,s2_101_normal,248
s2_102.webp,s2,102,normal,s2_102,s2\s2_102.webp,s2,2,4,1,s2_102_normal,249
s2_103.webp,s2,103,normal,s2_103,s2\s2_103.webp,s2,2,5,1,s2_103_normal,250
s2_104.webp,s2,104,normal,s2_104,s2\s2_104.webp,s2,2,6,1,s2_104_normal,251
s2_104_pf.webp,s2,104,pf,s2_104_pf,s2\s2_104_pf.webp,s2,2,6,2,s2_104_pf,252
s2_105.webp,s2,105,normal,s2_105,s2\s2_105.webp,s2,2,7,1,s2_105_normal,253
s2_106.webp,s2,106,normal,s2_106,s2\s2_106.webp,s2,2,8,1,s2_106_normal,254
s2_107.webp,s2,107,normal,s2_107,s2\s2_107.webp,s2,2,9,1,s2_107_normal,255
s2_108.webp,s2,108,normal,s2_108,s2\s2_108.webp,s2,2,10,1,s2_108_normal,256
s2_109.webp,s2,109,normal,s2_109,s2\s2_109.webp,s2,2,11,1,s2_109_normal,257
s2_109_pf.webp,s2,109,pf,s2_109_pf,s2\s2_109_pf.webp,s2,2,11,2,s2_109_pf,258
s2_11.webp,s2,11,normal,s2_11,s2\s2_11.webp,s2,2,12,1,s2_11_normal,273
s2_110.webp,s2,110,normal,s2_110,s2\s2_110.webp,s2,2,13,1,s2_110_normal,260
s2_111.webp,s2,111,normal,s2_111,s2\s2_111.webp,s2,2,14,1,s2_111_normal,261
s2_112.webp,s2,112,normal,s2_112,s2\s2_112.webp,s2,2,15,1,s2_112_normal,263
s2_112_alt.webp,s2,112,alt,s2_112_alt,s2\s2_112_alt.webp,s2,2,15,0,s2_112_alt,262
